Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
100.00      0.01     0.01                             wxUxThemeEngine::Initialize()
  0.00      0.01     0.00    15212     0.00     0.00  wxScopedCharTypeBuffer<wchar_t>::GetNullData()
  0.00      0.01     0.00    13403     0.00     0.00  wxEvent::GetEventType() const
  0.00      0.01     0.00     6159     0.00     0.00  wxScopedCharTypeBuffer<char>::GetNullData()
  0.00      0.01     0.00     6065     0.00     0.00  wxAppConsoleBase::GetInstance()
  0.00      0.01     0.00     5527     0.00     0.00  wxString::ConvertedBuffer<char>::ConvertedBuffer()
  0.00      0.01     0.00     5511     0.00     0.00  wxString::ConvertedBuffer<char>::~ConvertedBuffer()
  0.00      0.01     0.00     5511     0.00     0.00  wxString::~wxString()
  0.00      0.01     0.00     5164     0.00     0.00  wxScopedCharTypeBuffer<wchar_t>::DecRef()
  0.00      0.01     0.00     3498     0.00     0.00  wxUniChar::wxUniChar(wchar_t)
  0.00      0.01     0.00     3246     0.00     0.00  wxScopedCharTypeBuffer<wchar_t>::IncRef()
  0.00      0.01     0.00     3084     0.00     0.00  wxString::wxString()
  0.00      0.01     0.00     3077     0.00     0.00  wxScopedCharTypeBuffer<wchar_t>::Data::Get() const
  0.00      0.01     0.00     2994     0.00     0.00  wxEvtHandler::TryValidator(wxEvent&)
  0.00      0.01     0.00     2678     0.00     0.00  wxScopedCharTypeBuffer<wchar_t>::~wxScopedCharTypeBuffer()
  0.00      0.01     0.00     2617     0.00     0.00  wxObject::~wxObject()
  0.00      0.01     0.00     2529     0.00     0.00  wxUniChar::operator wchar_t() const
  0.00      0.01     0.00     2305     0.00     0.00  wxEvtHandler::TryParent(wxEvent&)
  0.00      0.01     0.00     2183     0.00     0.00  wxObject::wxObject()
  0.00      0.01     0.00     2112     0.00     0.00  wxScopedCharTypeBuffer<wchar_t>::wxScopedCharTypeBuffer(wxScopedCharTypeBuffer<wchar_t> const&)
  0.00      0.01     0.00     2094     0.00     0.00  wxScopedCharTypeBuffer<char>::DecRef()
  0.00      0.01     0.00     2084     0.00     0.00  wxWindowBase::GetEventHandler() const
  0.00      0.01     0.00     1772     0.00     0.00  wxString::length() const
  0.00      0.01     0.00     1758     0.00     0.00  wxCharBuffer::~wxCharBuffer()
  0.00      0.01     0.00     1758     0.00     0.00  wxCharTypeBuffer<char>::~wxCharTypeBuffer()
  0.00      0.01     0.00     1758     0.00     0.00  wxScopedCharTypeBuffer<char>::wxScopedCharTypeBuffer()
  0.00      0.01     0.00     1758     0.00     0.00  wxScopedCharTypeBuffer<char>::~wxScopedCharTypeBuffer()
  0.00      0.01     0.00     1691     0.00     0.00  wxScopedCharTypeBuffer<wchar_t>::data() const
  0.00      0.01     0.00     1689     0.00     0.00  wxWindow::GetHWND() const
  0.00      0.01     0.00     1563     0.00     0.00  wxPrivate::UntypedBufferData::UntypedBufferData(void*, unsigned int, wxPrivate::UntypedBufferData::Kind)
  0.00      0.01     0.00     1563     0.00     0.00  wxPrivate::UntypedBufferData::~UntypedBufferData()
  0.00      0.01     0.00     1512     0.00     0.00  wxScopedCharTypeBuffer<wchar_t>::operator wchar_t const*() const
  0.00      0.01     0.00     1458     0.00     0.00  wxWindowBase::GetValidator()
  0.00      0.01     0.00     1404     0.00     0.00  wxString::wxString(wxString const&)
  0.00      0.01     0.00     1350     0.00     0.00  wxScopedCharTypeBuffer<wchar_t>::Data::~Data()
  0.00      0.01     0.00     1267     0.00     0.00  wxTopLevelWindowBase::IsTopLevel() const
  0.00      0.01     0.00     1201     0.00     0.00  wxString::ImplStr(wchar_t const*)
  0.00      0.01     0.00      849     0.00     0.00  wxGet_wxConvLibc()
  0.00      0.01     0.00      770     0.00     0.00  wxGDIObject::~wxGDIObject()
  0.00      0.01     0.00      735     0.00     0.00  EntangleDialog::GetEventHashTable() const
  0.00      0.01     0.00      726     0.00     0.00  wxWindowBase::IsShown() const
  0.00      0.01     0.00      704     0.00     0.00  wxString::SubstrBufFromType<wxScopedCharTypeBuffer<wchar_t> >::~SubstrBufFromType()
  0.00      0.01     0.00      704     0.00     0.00  wxString::ImplStr(char const*, wxMBConv const&)
  0.00      0.01     0.00      641     0.00     0.00  wxString::operator=(wxString const&)
  0.00      0.01     0.00      640     0.00     0.00  wxString::empty() const
  0.00      0.01     0.00      608     0.00     0.00  wxScopedCharTypeBuffer<char>::Data::Get() const
  0.00      0.01     0.00      590     0.00     0.00  wxEventTypeTag<wxUpdateUIEvent>::operator int const&() const
  0.00      0.01     0.00      572     0.00     0.00  wxString::IsSameAs(wxString const&, bool) const
  0.00      0.01     0.00      566     0.00     0.00  wxScopedCharTypeBuffer<wchar_t>::wxScopedCharTypeBuffer()
  0.00      0.01     0.00      558     0.00     0.00  wxGDIObject::wxGDIObject()
  0.00      0.01     0.00      521     0.00     0.00  wxWindowBase::HasFlag(int) const
  0.00      0.01     0.00      519     0.00     0.00  wxString::wxString(wchar_t const*)
  0.00      0.01     0.00      480     0.00     0.00  wxObject::operator=(wxObject const&)
  0.00      0.01     0.00      448     0.00     0.00  wxThread::IsMain()
  0.00      0.01     0.00      447     0.00     0.00  wxScopedCharTypeBuffer<char>::data() const
  0.00      0.01     0.00      436     0.00     0.00  wxFormatStringArgument::wxFormatStringArgument(wxFormatString const*)
  0.00      0.01     0.00      432     0.00     0.00  wxString::Cmp(wxString const&) const
  0.00      0.01     0.00      427     0.00     0.00  wxColourBase::~wxColourBase()
  0.00      0.01     0.00      427     0.00     0.00  wxSize::wxSize(int, int)
  0.00      0.01     0.00      427     0.00     0.00  wxColour::~wxColour()
  0.00      0.01     0.00      420     0.00     0.00  wxCriticalSectionLocker::wxCriticalSectionLocker(wxCriticalSection&)
  0.00      0.01     0.00      420     0.00     0.00  wxCriticalSectionLocker::~wxCriticalSectionLocker()
  0.00      0.01     0.00      398     0.00     0.00  wxString::wxString(char const*)
  0.00      0.01     0.00      350     0.00     0.00  wxString::operator=(char const*)
  0.00      0.01     0.00      323     0.00     0.00  wxPoint::wxPoint(int, int)
  0.00      0.01     0.00      315     0.00     0.00  wxGDIImage::~wxGDIImage()
  0.00      0.01     0.00      284     0.00     0.00  wxScopedCharTypeBuffer<char>::~wxScopedCharTypeBuffer()
  0.00      0.01     0.00      224     0.00     0.00  wxGDIImage::wxGDIImage()
  0.00      0.01     0.00      224     0.00     0.00  wxColourBase::wxColourBase()
  0.00      0.01     0.00      224     0.00     0.00  wxScopedCharTypeBuffer<char>::wxScopedCharTypeBuffer()
  0.00      0.01     0.00      217     0.00     0.00  wxArrayString::GetCount() const
  0.00      0.01     0.00      213     0.00     0.00  wxScopedCharTypeBuffer<char>::Data::Data(char*, unsigned int, wxPrivate::UntypedBufferData::Kind)
  0.00      0.01     0.00      213     0.00     0.00  wxScopedCharTypeBuffer<char>::Data::~Data()
  0.00      0.01     0.00      199     0.00     0.00  wxString::PosLenToImpl(unsigned int, unsigned int, unsigned int*, unsigned int*)
  0.00      0.01     0.00      186     0.00     0.00  wxItemId<void*>::wxItemId(void*)
  0.00      0.01     0.00      178     0.00     0.00  wxString::find_last_of(wxUniChar, unsigned int) const
  0.00      0.01     0.00      172     0.00     0.00  wxFormatString::~wxFormatString()
  0.00      0.01     0.00      172     0.00     0.00  wxFormatStringArgumentFinder<wxFormatString const&>::find(wxFormatString const&)
  0.00      0.01     0.00      172     0.00     0.00  wxFormatString::operator wchar_t const*() const
  0.00      0.01     0.00      172     0.00     0.00  wxFormatStringArgument::operator wxFormatString const*() const
  0.00      0.01     0.00      161     0.00     0.00  wxScopedCharTypeBuffer<char>::data()
  0.00      0.01     0.00      139     0.00     0.00  wxTreeItemId::wxTreeItemId()
  0.00      0.01     0.00      133     0.00     0.00  wxLog::IsLevelEnabled(unsigned long, wxString)
  0.00      0.01     0.00      133     0.00     0.00  wxLog::IsEnabled()
  0.00      0.01     0.00      132     0.00     0.00  wxLogRecordInfo::wxLogRecordInfo(char const*, int, char const*, char const*)
  0.00      0.01     0.00      132     0.00     0.00  wxLogRecordInfo::~wxLogRecordInfo()
  0.00      0.01     0.00      132     0.00     0.00  wxLogger::wxLogger(unsigned long, char const*, int, char const*, char const*)
  0.00      0.01     0.00      132     0.00     0.00  wxLogger::~wxLogger()
  0.00      0.01     0.00      127     0.00     0.00  wxColour::wxColour()
  0.00      0.01     0.00      123     0.00     0.00  wxWindow::ContainsHWND(HWND__*) const
  0.00      0.01     0.00      117     0.00     0.00  wxString::erase(unsigned int, unsigned int)
  0.00      0.01     0.00      116     0.00     0.00  wxArrayString::wxArrayString()
  0.00      0.01     0.00      112     0.00     0.00  wxScopedCharTypeBuffer<char>::IncRef()
  0.00      0.01     0.00      112     0.00     0.00  wxPoint::wxPoint()
  0.00      0.01     0.00      101     0.00     0.00  wxScopedCharTypeBuffer<char>::CreateNonOwned(char const*, unsigned int)
  0.00      0.01     0.00       95     0.00     0.00  wxArrayString::Item(unsigned int)
  0.00      0.01     0.00       95     0.00     0.00  wxBitmapHelpers::wxBitmapHelpers()
  0.00      0.01     0.00       89     0.00     0.00  wxString::clear()
  0.00      0.01     0.00       83     0.00     0.00  wxBitmap::wxBitmap()
  0.00      0.01     0.00       75     0.00     0.00  wxSize::GetWidth() const
  0.00      0.01     0.00       71     0.00     0.00  wxSize::wxSize()
  0.00      0.01     0.00       70     0.00     0.00  wxWindowBase::GetMinSize() const
  0.00      0.01     0.00       60     0.00     0.00  wxListBase::GetCount() const
  0.00      0.01     0.00       56     0.00     0.00  operator!=(wxString const&, wxString const&)
  0.00      0.01     0.00       52     0.00     0.00  wxString::ConvertedBuffer<char>::AsScopedBuffer() const
  0.00      0.01     0.00       52     0.00     0.00  wxString::mb_str(wxMBConv const&) const
  0.00      0.01     0.00       52     0.00     0.00  wxString::AsCharBuf(wxMBConv const&) const
  0.00      0.01     0.00       51     0.00     0.00  wxWindowBase::GetWindowStyleFlag() const
  0.00      0.01     0.00       49     0.00     0.00  wxStrlen(char const*)
  0.00      0.01     0.00       46     0.00     0.00  wxWindowBase::GetWindowVariant() const
  0.00      0.01     0.00       46     0.00     0.00  wxString::find_last_of(wchar_t, unsigned int) const
  0.00      0.01     0.00       46     0.00     0.00  wxControl::GetDefaultAttributes() const
  0.00      0.01     0.00       39     0.00     0.00  wxWindow::MSWGetCustomBgBrush()
  0.00      0.01     0.00       38     0.00     0.00  wxWindowBase::HasCapture() const
  0.00      0.01     0.00       36     0.00     0.00  wxWindowBase::HasTransparentBackground()
  0.00      0.01     0.00       35     0.00     0.00  wxImage::~wxImage()
  0.00      0.01     0.00       35     0.00     0.00  wxWindowBase::GetToolTip() const
  0.00      0.01     0.00       35     0.00     0.00  wxArrayString::IsEmpty() const
  0.00      0.01     0.00       35     0.00     0.00  wxWindow::HasToolTips() const
  0.00      0.01     0.00       34     0.00     0.00  wxArrayString::empty() const
  0.00      0.01     0.00       32     0.00     0.00  wxArgNormalizer<int>::wxArgNormalizer(int, wxFormatString const*, unsigned int)
  0.00      0.01     0.00       32     0.00     0.00  wxArgNormalizerWchar<int>::wxArgNormalizerWchar(int, wxFormatString const*, unsigned int)
  0.00      0.01     0.00       32     0.00     0.00  wxArrayString::size() const
  0.00      0.01     0.00       32     0.00     0.00  wxArgNormalizer<int>::get() const
  0.00      0.01     0.00       31     0.00     0.00  wxWindowBase::GetClientSize() const
